siRNA ID,Catalog Number,Gene Symbol,Gene Name,Alias,RefSeq,GenBank mRNA,Product Family,siRNA Type,Availability,siRNA Assay,Matched Keywords
s38521,4392420,ZNF394,zinc finger protein 394,ZKSCAN14;ZSCAN46,NM_032164.2;XM_017012711.1,BC017051.1;BC025241.1;AK022360.1;L14843.1;BC051847.1;AK172865.1;AK222948.1;AY642122.1,,Silencer® Select,Inventoried,,s38521
s37808,4392420,NETO1,neuropilin and tolloid like 1,BCTL1;BTCL1,XM_017026017.1;NM_138999.1;NM_001201465.1;XM_017026024.1;NM_138966.3;XM_017026022.1;XM_017026023.1;XM_017026020.1;XM_017026021.1;XM_005266774.4;XM_017026018.1;XM_017026019.1,BC050329.1;AL834354.1;AF448838.1;AF448839.1,,Silencer® Select,Inventoried,,s37808
s37078,4392420,NAA50,"N(alpha)-acetyltransferase 50, NatE catalytic subunit",MAK3;NAT13;NAT13P;NAT5;NAT5P;SAN,NM_025146.3;NM_001308445.1,AK296456.1;AK307184.1;AK315876.1;AK023256.1;BC012731.2;AK023090.1;AL601126.1;DA854531.1,,Silencer® Select,Inventoried,,s37078
s38294,4390824,KCTD10,potassium channel tetramerization domain containing 10,BTBD28;MSTP028;ULRO61;hBACURD3,NR_133898.1;NM_031954.4;NR_133897.1;NM_001317395.1,AK309783.1;AB209358.1;AK222548.1;AY205299.1;AK056912.1;AF113208.1;BX333975.2;AK027543.1;BC040062.1;AK092170.1;CX785497.1;AK123733.1,,Silencer® Select,Inventoried,,s38294
s37424,4392420,ZFP91;ZFP91-CNTF,ZFP91 zinc finger protein;ZFP91-CNTF readthrough (NMD candidate),DMS-8;DSM-8;FKSG11;PZF;ZFP-91;ZNF757,NM_001197051.1;NM_053023.4;NR_024091.1,BC051743.1;AB056107.1;AB057443.1;AF310246.1;AK295700.1,,Silencer® Select,Inventoried,,s37424
s195482,4392420,COX4I2,cytochrome c oxidase subunit 4I2,COX4;COX4-2;COX4B;COX4L2;COXIV-2;dJ857M17.2,XM_005260580.4;XM_005260581.3;XM_005260579.4;NM_032609.2,HE647859.1;AF257180.1;BC057779.1,,Silencer® Select,Inventoried,,s195482
s38384,4392420,BRIP1,BRCA1 interacting protein C-terminal helicase 1,BACH1;FANCJ;OF,XM_011525341.2;XM_011525340.2;XM_017025201.1;XM_011525339.2;XM_017025200.1;XM_011525338.2;XM_011525337.2;XM_011525336.2;NM_032043.2;XM_011525335.2;XM_011525334.2;XM_011525333.2;XM_011525332.2,AF360549.1;BC101474.1;BC101472.1,,Silencer® Select,Inventoried,,s38384
s39512,4392420,TRIM52,tripartite motif containing 52,RNF102,NM_032765.2;XM_005266000.3;XM_017009991.1;XM_017009994.1;XM_017009992.1;XM_017009993.1,AB209243.1;JX896146.1;AK054802.1;BC007372.2,,Silencer® Select,Inventoried,,s39512
s39380,4390824,PIGO,phosphatidylinositol glycan anchor biosynthesis class O,HPMRS2,XM_017015222.1;XM_017015224.1;XM_017015223.1;XM_005251619.3;NM_032634.3;NM_152850.3;NM_001201484.1,BC001030.2;BC013987.2;AY358472.1;BC029271.1;BC036916.1;AK090433.1;AK074064.1;BC065282.1;AL833956.1,,Silencer® Select,Inventoried,,s39380
s36989,4392420,PGGHG,protein-glucosylgalactosylhydroxylysine glucosidase,ATHL1,XM_011520383.2;XM_017018355.1;NM_025092.4;XM_011520385.2;XM_011520384.2,AK090428.1;AK296137.1;AK026288.1;AK074155.1;AL832932.1;BC109257.2;BC109258.2,,Silencer® Select,Inventoried,,s36989
s39253,4392420,SPINK7,"serine peptidase inhibitor, Kazal type 7 (putative)",ECG2;ECRG2,NM_032566.2,BC109385.1;BC110067.1;AY359072.1;AF268198.1,,Silencer® Select,Inventoried,,s39253
s37284,4392420,RNF39,ring finger protein 39,HZF;HZFW;LIRF,NM_170769.2;NM_025236.3;XM_017011325.1,AF238315.1;AF238317.1;AF238316.1,,Silencer® Select,Inventoried,,s37284
s39303,4392420,TRIM63,tripartite motif containing 63,IRF;MURF1;MURF2;RNF28;SMRZ,XM_017002559.1;NM_032588.3,AK297820.1;BC080529.1;AK056942.1;BT007373.1;AJ276484.1;AF353673.1,,Silencer® Select,Inventoried,,s39303
s37388,4392420,CYB5B,cytochrome b5 type B,CYB5-M;CYPB5M;OMB5,NM_030579.2,BC014431.1;AB009282.1;BX647922.1;BC004373.1;AK291576.1,,Silencer® Select,Inventoried,,s37388
s36489,4392420,EPHX3,epoxide hydrolase 3,ABHD9;EH3,NM_001142886.1;NM_024794.2,AK026061.1;BC132958.1;BC115002.1;BC132960.1,,Silencer® Select,Inventoried,,s36489
s37376,4392420,STARD5,StAR related lipid transfer domain containing 5,,XM_006720703.1;NM_181900.2;NR_135013.1;XM_017022639.1,AK097024.1;BC004365.1;AK026352.1;AL137657.1;AF480304.1;AK225479.1,,Silencer® Select,Inventoried,,s37376
s38395,4392420,KREMEN1,kringle containing transmembrane protein 1,KREMEN;KRM1,XM_017028989.1;XM_011530429.2;XM_011530430.2;NM_001039570.2;NM_032045.4;XM_011530432.2,BC063787.1;AK056425.1;AB059618.1,,Silencer® Select,Inventoried,,s38395
s37414,4392420,DDHD1,DDHD domain containing 1,PA-PLA1;PAPLA1;SPG28,XM_011537189.2;XM_011537188.2;XM_005268105.2;NM_001160147.1;NM_030637.2;NM_001160148.1;XM_005268103.2;XM_017021669.1;XM_017021668.1;XM_005268102.2,BC030703.2;AK125556.1;DQ315474.1;GU376468.1;AK058137.1;AB051492.1;AK125372.1,,Silencer® Select,Inventoried,,s37414
s37188,4390824,PDGFD,platelet derived growth factor D,IEGF;MSTP036;SCDGF-B;SCDGFB,NM_025208.4;NM_033135.3,AY027518.1;AF336376.1;AK292801.1;BC030645.2;AY359116.1;AB033832.1;AF113216.1;AF335584.1;AY027517.1,,Silencer® Select,Inventoried,,s37188
s36346,4392420,ALG9,"ALG9, alpha-1,2-mannosyltransferase",CDG1L;DIBD1;GIKANIS;LOH11CR1J,NM_001077691.1;XM_006718913.2;XM_017018326.1;XM_017018324.1;XM_017018325.1;NM_024740.2;XM_011542992.1;NM_001077690.1;NM_001077692.1;XM_017018314.1;XM_017018315.1;XM_017018313.1;XM_017018322.1;XM_005277724.4;XM_005277723.4;XM_017018323.1;XM_017018320.1;XM_017018321.1;XM_017018318.1;XM_017018319.1;XM_017018316.1;XM_017018317.1,AL136927.1;KU178783.1;AF395532.1;AK225261.1;BC009255.2;AF454937.1;AK298811.1;KU178784.1;AK025498.1;AK172828.1,,Silencer® Select,Inventoried,,s36346
s37479,4392420,TUBB1,tubulin beta 1 class VI,,NM_030773.3;XM_017028085.1,AJ292757.1;BC033679.1;BI821931.1,,Silencer® Select,Inventoried,,s37479
s35994,4392420,SRD5A3,steroid 5 alpha-reductase 3,CDG1P;CDG1Q;KRIZI;SRD5A2L;SRD5A2L1,NM_024592.4;XM_017008601.1,AK023414.1;BC002480.2;CR457312.1,,Silencer® Select,Inventoried,,s35994
s36985,4392420,NAA15,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit",Ga19;NARG1;NAT1P;NATH;TBDN;TBDN100,XM_005263236.2;NM_057175.3,AY039242.1;BC093928.1;AF327722.1;AK023387.1;AK304417.1;BC032642.1;BC039818.1;AK023402.1;BC104806.1;AJ314788.1;AY112670.1;AK314626.1,,Silencer® Select,Inventoried,,s36985
s38249,4392420,HMCN1,hemicentin 1,ARMD1;FBLN6;FIBL-6;FIBL6,XM_017002437.1;XM_011510038.2;NM_031935.2;XM_011510041.2,AF156100.1;AK056557.1,,Silencer® Select,Inventoried,,s38249
s39123,4392420,ACSS1,acyl-CoA synthetase short-chain family member 1,ACAS2L;ACECS1;AceCS2L,XM_006723659.1;XM_011529388.1;NM_001252676.1;NM_001252675.1;NM_032501.3,AK092295.1;AL833041.1;AK027817.1;BC032076.1;AK125923.1;AK296306.1;AB058749.1;BC039261.1;AK314440.1;BC044588.1;AL832939.1;AK090851.1;BC055008.1;AK125058.1,,Silencer® Select,Inventoried,,s39123
s37040,4392420,MUS81,MUS81 structure-specific endonuclease subunit,SLX3,XM_011545269.1;XM_005274307.2;NM_025128.4;XM_011545270.1,AK223564.1;AF425646.1;AK095326.1;BC009999.2;AK126820.1;AK024665.1,,Silencer® Select,Inventoried,,s37040
s39538,4390824,CBR4,carbonyl reductase 4,SDR45C1,XM_011532385.1;XM_017008782.1;XM_006714391.1;XM_005263315.2;XM_005263316.3;NM_032783.4;XM_006714392.3;XM_017008783.1,BQ230058.1;AL833393.1;BC033650.1;AK027337.1;BC021973.2;BG119539.1;AK291756.1;AV704400.1;DA217727.1,,Silencer® Select,Inventoried,,s39538
s36675,4392420,SYNPO2L,synaptopodin 2 like,,NM_001114133.2;XM_005270158.2;NM_024875.4;XM_005270159.3,AB188489.1;AK022983.1;AK295873.1;BC142635.1,,Silencer® Select,Inventoried,,s36675
s36544,4392420,RABEP2,"rabaptin, RAB GTPase binding effector protein 2",FRA,NM_024816.2,BC058900.1;AK295229.1;AK026935.1;BC046118.1;AK092299.1,,Silencer® Select,Inventoried,,s36544
s37765,4392420,LOC81691,exonuclease NEF-sp,,XM_005255604.1;NM_001144924.1;NM_001199053.1;XM_011545963.1;XM_017023739.1;XM_011545964.1;NM_030941.2;XM_011545965.1,AF332193.1;AK314458.1;BC068503.1;BC007646.1;AL136763.2,,Silencer® Select,Inventoried,,s37765
s37347,4392420,TSEN2,tRNA splicing endonuclease subunit 2,PCH2B;SEN2;SEN2L,NR_135607.1;NM_001145392.1;NM_025265.3;XM_011534139.2;XM_017007293.1;XM_017007292.1;XM_017007295.1;XM_017007294.1;XM_017007297.1;XM_017007296.1;NM_001321279.1;NM_001321278.1;NM_001145394.1;NM_001145393.2;NM_001321277.1,AK295508.1;AK027821.1;AK225875.1;AK291183.1;BC004211.2;AK300449.1;BC004178.2;BC019582.1;AK074794.1;CN341716.1;DA614108.1,,Silencer® Select,Inventoried,,s37347
s38120,4392420,SLC4A9,solute carrier family 4 member 9,AE4,XM_017009942.1;XM_017009943.1;XM_017009940.1;XM_017009941.1;XM_017009938.1;XM_017009939.1;NM_001258426.1;XM_017009936.1;NM_001258427.1;XM_017009937.1;NM_001258428.1;XM_017009934.1;XM_017009935.1;XM_005268521.3;XM_017009933.1;XM_011537694.2;NM_031467.2,AF313465.1;BC136262.1;AF332961.1;AB032762.1;AF336237.1;BC143602.1,,Silencer® Select,Inventoried,,s38120
s195427,4392420,SHARPIN,SHANK associated RH domain interactor,SIPL1,XM_017013888.1;XM_017013887.1;NM_030974.3;NR_038270.1,BC025244.1;AB052764.1;AB052765.1;FJ655995.1;AL136816.1;BC034028.1;AK075518.1;BI911222.1;BE877614.1,,Silencer® Select,Inventoried,,s195427
s36196,4392420,LIN28A,lin-28 homolog A,CSDD1;LIN-28;LIN28;ZCCHC1;lin-28A,XM_011542148.1;NM_024674.5,AF521099.1;CN349325.1;AK022519.1;BC028566.2,,Silencer® Select,Inventoried,,s36196
s224967,4392420,AGBL4,ATP/GTP binding protein like 4,CCP6,XM_017002595.1;NM_001323575.1;NM_001323574.1;NM_001323573.1;XM_011542308.2;NR_136623.1;XM_017002596.1;NM_032785.3;XM_017002597.1,BC126383.1;AK294394.1;AK027348.1;AK294633.1;AK094826.1;BC144171.1,,Silencer® Select,Inventoried,,s224967
s38258,4392420,BCO2,beta-carotene oxygenase 2,B-DIOX-II;BCDO2,NM_001037290.2;NM_001256397.1;NM_001256398.1;NM_031938.5;NM_001256400.1,AK091783.1;AK297853.1;AB096252.1;AJ290393.1;BC041656.1;AF276432.1;AK027801.1;AK315300.1,,Silencer® Select,Inventoried,,s38258
s38789,4392420,SLC25A33,solute carrier family 25 member 33,BMSC-MCP;PNC1,XM_011542296.1;XM_005263503.3;NM_032315.2,AF495714.1;BC004991.1;BC073135.1;AJ880283.1,,Silencer® Select,Inventoried,,s38789
s36965,4392420,UXS1,UDP-glucuronate decarboxylase 1,SDR6E1;UGD,NR_045607.1;NM_001253876.1;NM_001253875.1;XM_017005009.1;XM_011511903.2;XM_011511902.2;XM_017005008.1;XM_011511904.2;XM_017005013.1;XM_017005012.1;XM_017005011.1;XM_017005010.1;NM_025076.4;XM_006712775.3;XM_017005014.1,AK225592.1;AK075120.1;BC009819.2;AY147934.1;AK290668.1;CF242897.1;AY358541.1;AK075170.1;AK027244.1,,Silencer® Select,Inventoried,,s36965
s37799,4392420,SLCO5A1,solute carrier organic anion transporter family member 5A1,OATP-J;OATP-RP4;OATP5A1;OATPJ;OATPRP4;SLC21A15,XM_017013886.1;NM_001146008.1;NM_001146009.1;XM_005251313.2;NM_030958.2;XM_017013884.1;XM_017013883.1,BC144618.1;AK308488.1;BC137424.1;AF205075.1;AK096879.1;AK307567.1;BC139755.1;AK299048.1;AK022760.1,,Silencer® Select,Inventoried,,s37799
s38370,4392420,SPNS1,sphingolipid transporter 1 (putative),HSpin1;LAT;PP2030;SPIN1;SPINL;nrs,NM_001142448.1;NM_001142450.1;NM_001142449.1;NM_001142451.1;NM_032038.2;XM_006721096.3;XM_017023758.1;XM_017023757.1;XM_017023759.1,BC006156.1;BC008325.1;AK289787.1;BC038961.1;BC047741.1;AK095677.1;AF212371.1;AF370423.1;AL390215.1;BC065235.1;AL524908.3,,Silencer® Select,Inventoried,,s38370
s37601,4392420,GDPD5,glycerophosphodiester phosphodiesterase domain containing 5,GDE2;PP1665,XM_011545287.1;XM_011545278.2;NM_030792.6;XM_011545279.2;XM_011545276.2;XM_011545277.2;XM_011545280.1;XM_011545281.2;XM_011545285.2;XM_011545286.1;XM_006718697.3,BC018771.1;AF217989.1;AK074848.1;AK098808.1;AF318351.1;AF318377.1;AY358477.1;AF451987.1;BC033391.1;AL833941.1,,Silencer® Select,Inventoried,,s37601
s38808,4392420,RNF135,ring finger protein 135,L13;MMFD;REUL;Riplet,NM_001184992.1;XM_005258043.4;NM_197939.1;NM_032322.3;XM_017025223.1,AK122709.1;BC005084.1;AJ496729.1;BC082262.1;AK226030.1;AK122646.1,,Silencer® Select,Inventoried,,s38808
s195432,4392420,PCDH11Y;PCDH11X,protocadherin 11 Y-linked;protocadherin 11 X-linked,PCDH-PC;PCDH22;PCDHX;PCDHY;PCDH-X;PCDH11;PCDHX;PPP1R119,XM_017030080.1;XM_017030081.1;NM_032972.2;NM_001278619.1;XM_017030079.1;NM_032973.2;XM_017030082.1;XM_017030083.1;NM_032971.2,AK289676.1;AJ564958.1;AJ564959.1;AF332216.1;AF277053.1;AF332217.1;AJ276803.1,,Silencer® Select,Inventoried,,s195432
s36951,4392420,PTGES2,prostaglandin E synthase 2,C9orf15;GBF-1;GBF1;PGES2;mPGES-2,,AK024100.1;AK301618.1;AK057049.1;BC011613.2;BC009456.1;BC009397.2;AK223520.1,,Silencer® Select,Inventoried,,s36951
s36208,4392420,NARS2,"asparaginyl-tRNA synthetase 2, mitochondrial (putative)",DFNB94;SLM5;asnRS,XM_017018304.1;NM_024678.5;NM_001243251.1;XM_017018303.1;XM_011545253.1,BC007800.2;AK225444.1;AK315425.1;AK027094.1;AK056980.1,,Silencer® Select,Inventoried,,s36208
s39284,4392420,HES7,hes family bHLH transcription factor 7,SCDO4;bHLHb37,NM_001165967.1;NM_032580.3;XM_011524041.2;XM_017025232.1,BC039887.1,,Silencer® Select,Inventoried,,s39284
s39347,4392420,ABHD1,abhydrolase domain containing 1,LABH1,XM_011533138.2;XM_011533137.2;XM_011533135.2;NM_032604.3,BC039576.1;AY033290.1,,Silencer® Select,Inventoried,,s39347
s39003,4392420,RAB11FIP4,RAB11 family interacting protein 4,RAB11-FIP4,NM_001303542.2;NM_032932.5,BC093914.1;BI461640.1;AK097424.1;AJ314646.2;AK074060.1;BC101517.1;AY169244.1;AB058724.1,,Silencer® Select,Inventoried,,s39003
s224958,4392420,PPP1R9B,protein phosphatase 1 regulatory subunit 9B,PPP1R6;PPP1R9;SPINO;Spn,NM_032595.4;XM_011525381.2,AJ401189.1,,Silencer® Select,Inventoried,,s224958
s39161,4392420,SLC12A8,solute carrier family 12 member 8,CCC9,NM_024628.5;NM_001195483.1,AF390442.1;BC126160.1;BC126158.1;AF345197.1;AK308484.1;AK026841.1;BC063528.1;BX538023.1;AK123001.1,,Silencer® Select,Inventoried,,s39161
s38736,4392420,SLC37A3,solute carrier family 37 member 3,,XM_017012716.1;XM_017012715.1;XM_017012714.1;XM_011516626.2;NM_032295.3;XM_011516627.2;XM_017012713.1;XM_017012712.1;NM_001287498.1;NM_207113.2,AL136583.1;BC028380.1;BC046567.1;AK300265.1;AK299276.1;AK074823.1,,Silencer® Select,Inventoried,,s38736
s36168,4392420,PPCS,phosphopantothenoylcysteine synthetase,,NM_001077447.2;NM_001287506.1;NM_001287507.1;NM_001287508.1;NM_001287509.1;NM_001287510.1;NM_024664.3,CB998485.1;BC112015.1;BC106064.1;BC062586.1;BC104938.1;BP211065.1,,Silencer® Select,Inventoried,,s36168
s39044,4392420,LCOR,ligand dependent nuclear receptor corepressor,MLR2,XM_017016784.1;XM_017016785.1;XM_017016786.1;XM_017016787.1;XM_006718033.3;XM_017016788.1;NM_032440.3;NM_001170766.1;NM_001170765.1,AL834245.2;BC053359.1;AK095345.1;AL832106.1;AL832044.1;AB058698.1,,Silencer® Select,Inventoried,,s39044
s37498,4392420,COLEC12,collectin subfamily member 12,CLP1;NSR2;SCARA4;SRCL,NM_130386.2,DB473908.1;AB038518.1;AB034251.1;AB005145.1;BC060789.1,,Silencer® Select,Inventoried,,s37498
s35961,4392420,EFL1,elongation factor like GTPase 1,EFTUD1;FAM42A;HsT19294;RIA1,NM_001322845.1;NM_001322844.1;NR_136410.1;XM_011522000.1;NM_024580.5;NM_001040610.2,AK056656.1;AK300348.1;AK023181.1;BX538332.1,,Silencer® Select,Inventoried,,s35961
s37951,4392420,GLT8D2,glycosyltransferase 8 domain containing 2,,NM_001316967.1;NM_031302.4;XM_017019999.1;XM_011538793.2,AY358763.1;AJ271711.1;AK027310.1;BC022343.1;AK056056.1,,Silencer® Select,Inventoried,,s37951
s39547,4392420,ZC3H10,zinc finger CCCH-type containing 10,ZC3HDC10,NM_001303124.1;NM_032786.2;NM_001303125.1,BC018708.1;AK027357.1,,Silencer® Select,Inventoried,,s39547
s37261,4392420,SEL1L2,SEL1L2 ERAD E3 ligase adaptor subunit,C20orf50,XM_011529375.1;XM_011529377.1;NR_073206.1;NR_073207.1;XM_006723655.2;NM_001271539.1;XM_011529374.1;XM_006723652.2;XM_006723651.2;XM_006723650.2;XM_011529378.1;XM_006723647.2;XM_006723646.2;XM_011529379.1,AK302170.1;AL137678.1,,Silencer® Select,Inventoried,,s37261
s38069,4392420,SELO,selenoprotein O,,NM_031454.1,CR456464.1;BC001099.2;AY324823.1;BC110866.1,,Silencer® Select,Inventoried,,s38069
s39233,4392420,MFSD14B,major facilitator superfamily domain containing 14B,HIATL1,XM_017015221.1;XM_006717305.3;NM_032558.2;XM_017015218.1;XM_011519114.2;XM_017015217.1;XM_017015220.1;XM_017015219.1,AK300615.1;AK027659.1;BX648846.1;BC021093.1;BC106062.1;AK222836.1,,Silencer® Select,Inventoried,,s39233
s38106,4392420,HSDL1,hydroxysteroid dehydrogenase like 1,SDR12C3,NM_031463.4;XM_005256189.2;NM_001146051.1,DC306668.1;BC104218.1;BC104219.1;AF237684.1;AK299798.1;BC106917.2;AK074878.1;AY028377.1;BC018084.1,,Silencer® Select,Inventoried,,s38106
s36286,4392420,ELMO3,engulfment and cell motility 3,CED-12;CED12;ELMO-3,NM_024712.3,AK023886.1;AK056923.1;BC034410.1;AK300976.1,,Silencer® Select,Inventoried,,s36286
s36853,4392420,SEMA6D,semaphorin 6D,,NM_153616.1;NM_153617.1;NM_153618.1;NM_153619.1;XM_011522081.2;XM_011522079.2;XM_011522080.2;XM_005254689.3;XM_011522077.2;XM_017022617.1;NM_024966.2;XM_017022618.1;XM_011522078.2;XM_005254685.3;XM_011522075.2;XM_011522076.2;NM_001198999.1;XM_005254687.2;XM_017022621.1;XM_005254686.2;XM_017022619.1;NM_020858.1;XM_017022620.1,AF389426.1;AF389429.1;AF389427.1;AK021660.1;BC150253.1;AF389430.1;AF389428.1;AB040912.2;AK290032.1,,Silencer® Select,Inventoried,,s36853
s37010,4392420,SPSB1,splA/ryanodine receptor domain and SOCS box containing 1,SSB-1;SSB1,NM_025106.3,AF403026.1;BC015711.1;AB209559.1,,Silencer® Select,Inventoried,,s37010
s38015,4392420,THAP2,THAP domain containing 2,,NM_031435.3,AL136607.1;CR533485.1;AK313452.1;BC008358.1,,Silencer® Select,Inventoried,,s38015
s36107,4392420,QTRT2,queuine tRNA-ribosyltransferase accessory subunit 2,QTRTD1,XM_017007183.1;NM_001256836.1;XM_005247769.3;XM_017007182.1;XM_005247770.3;NM_001256837.1;XM_006713744.3;NM_001256835.1;XM_017007184.1;NM_024638.3;XM_011513137.2,CR457296.1;AK296938.1;BC034559.2;BC039265.1;AK023022.1;AL833709.1;AK299313.1,,Silencer® Select,Inventoried,,s36107
s36468,4392420,ZDHHC11,zinc finger DHHC-type containing 11,ZNF399,NM_024786.2;XM_017009870.1;XM_017009869.1;XM_017009872.1;XM_017009871.1,BC032000.1;AK023215.1,,Silencer® Select,Inventoried,,s36468
s36819,4392420,PHC3,polyhomeotic homolog 3,EDR3;HPH3,NM_001308116.1;XM_017007235.1;XM_017007237.1;XM_017007236.1;XM_017007239.1;XM_005247791.3;XM_017007238.1;XM_005247789.2;NM_024947.3;XM_006713754.3;XM_006713753.1;XM_011513186.2;XM_011513187.2;XM_011513188.2;XM_006713756.2;XM_011513189.2,AF380154.1;BC131772.1;AK304411.1;EF560717.1;AF444193.1;AJ320486.3,,Silencer® Select,Inventoried,,s36819
s37586,4392420,ITFG1,integrin alpha FG-GAP repeat containing 1,2310047C21Rik;CDA08;LNKN-1;TIP,NM_030790.4;NM_001305002.1,AK027596.1;AF212247.1;BC024162.1;AK301908.1;AF503339.1;BC006321.2;AK309475.1,,Silencer® Select,Inventoried,,s37586
s224912,4392420,SLC25A18,solute carrier family 25 member 18,GC2,XM_017028974.1;XM_011546151.2;XM_011546150.2;XM_017028973.1;XM_017028972.1;XM_011546153.2;XM_017028971.1;XM_011546152.1;NM_001303484.1;XM_011546154.2;XM_017028975.1;NM_031481.2;XM_017028970.1;XM_017028969.1;XM_011546149.2;XM_017028968.1,AK309110.1;AY008285.1;AJ428203.1;CR456578.1;BC031644.1;AK095706.1,,Silencer® Select,Inventoried,,s224912
s37961,4392420,DDX59,DEAD-box helicase 59,OFD5;ZNHIT5,NM_001031725.5;NM_001320181.1;NM_001320182.1,BC041801.1;AK307569.1;AL136611.1;AK299219.1,,Silencer® Select,Inventoried,,s37961
s39170,4392420,GNPTG,N-acetylglucosamine-1-phosphate transferase gamma subunit,C16orf27;GNPTAG;LP2537;RJD9,XM_017023783.1;NM_032520.4;XM_017023782.1,AK312067.1;AF302786.1;BC014592.1;AY203933.1;AK126110.1;BC131525.1,,Silencer® Select,Inventoried,,s39170
s38090,4392420,TLN2,talin 2,ILWEQ,NM_015059.2;XM_017022666.1;XM_017022667.1;XM_006720717.3;XM_017022665.1;XM_005254708.4;XM_017022668.1;XM_005254711.4;XM_005254710.4;XM_017022669.1;XM_005254713.4;XM_005254712.4;XM_005254715.2;XM_005254714.3,AB002318.2;AF402000.1;AB621808.1,,Silencer® Select,Inventoried,,s38090
s35991,4392420,CHMP6,charged multivesicular body protein 6,VPS20,NM_024591.4;XM_005257668.1,BC010108.2;BP196406.1;AK223187.1;AK292105.1;AY329087.1;CR457284.1,,Silencer® Select,Inventoried,,s35991
s36128,4392420,ZMAT4,zinc finger matrin-type 4,,NM_024645.2;NM_001135731.1;XM_017013836.1,BC019598.1;AK023904.1,,Silencer® Select,Inventoried,,s36128
s38273,4392420,SLC25A2,solute carrier family 25 member 2,ORC2;ORNT2,NM_031947.3,AF332005.1;AF378119.1;BC100936.1;AY208943.1;BC069458.1;BC100935.2;BC100937.2,,Silencer® Select,Inventoried,,s38273
s38230,4392420,TMTC1,transmembrane and tetratricopeptide repeat containing 1,ARG99;OLF;TMTC1A,XM_017020004.1;NM_175861.3;NM_001193451.1;XM_017020006.1;XM_017020005.1;XM_017020007.1;XM_005253499.4,AK127297.1;AK055962.1;BC042083.1;GQ865601.1;AK123619.1,,Silencer® Select,Inventoried,,s38230
s38956,4390824,COG8,component of oligomeric golgi complex 8,CDG2H;DOR1,NM_032382.4,BC121023.1;AK056344.1;BC121022.1;AK302605.1,,Silencer® Select,Inventoried,,s38956
s37096,4392420,PAAF1,proteasomal ATPase associated factor 1,PAAF;Rpn14;WDR71,NM_025155.2;NM_001267806.1;NM_001267805.1;XM_017018358.1;NM_001267804.1;NM_001267803.1;XM_017018357.1;XM_005274309.1,AK021910.1;CD243380.1;AK225520.1;BC028628.1;AK298258.1;DC354686.1;BC021541.1;AK222501.1;BC006142.2;AK316394.1;AF087895.1,,Silencer® Select,Inventoried,,s37096
s39020,4392420,SYVN1,synoviolin 1,DER3;HRD1,NM_032431.2;NM_172230.2;XM_011545303.2,AB085847.1;AK074148.1;BC030530.1;AK126912.1;AL834262.1;AF317634.1;AB058713.1,,Silencer® Select,Inventoried,,s39020
s37706,4390824,NIPA2,non imprinted in Prader-Willi/Angelman syndrome 2,,XM_017022645.1;XM_017022646.1;XM_011543880.2;XM_011543879.2;XM_011543878.2;XM_017022649.1;XM_006720364.2;NM_001184888.1;XM_017022650.1;XM_017022647.1;XM_006720365.2;XM_017022648.1;XM_006720366.3;XM_017022653.1;XM_017022654.1;NM_001184889.1;XM_017022651.1;NM_001008894.2;XM_017022652.1;NM_001008892.2;XM_017022657.1;XM_011543877.2;XM_017022658.1;XM_017022655.1;XM_017022656.1;XM_017022661.1;XM_017022662.1;NM_001008860.2;XM_017022659.1;XM_005272552.3;XM_017022660.1;XM_005272553.4;XM_017022663.1;XM_006720367.1;XM_005272546.3;NM_030922.6;XM_005272547.4;XM_005272550.3;XM_005272548.3,AK313584.1;BC011775.2;U90904.1;BC000957.3;AY732242.1;AK300843.1,,Silencer® Select,Inventoried,,s37706
s39112,4392420,RHOXF2;RHOXF2B,Rhox homeobox family member 2B;Rhox homeobox family member 2,CT107;PEPP-2;PEPP2;THG1,NM_001099685.1;XM_005262484.3;NM_032498.2,AK058125.1;AL590526.1;AF317219.1;BC021719.2;AL590524.1,,Silencer® Select,Inventoried,,s39112
s38604,4392420,POLR1B,RNA polymerase I subunit B,RPA135;RPA2;Rpo1-2,NM_019014.5;NM_001282779.1;NM_001282776.1;NM_001282777.1;NM_001282774.1;NM_001282772.1;NM_001137604.2,AK301178.1;BX647683.1;BC004882.2;AK302814.1;AK022533.1;AK172817.1;BC150139.1;AK022890.1;AK025574.1;BC096748.1;BX647360.1;BC073857.1;AK294027.1;AK128044.1;BC110833.1,,Silencer® Select,Inventoried,,s38604
s39377,4392420,HDGFRP2,hepatoma-derived growth factor-related protein 2,HDGF-2;HDGF2;HRP-2,XM_011528375.2;XM_011528376.2;NM_032631.3;NM_001001520.2;XM_011528377.2,AF294267.1;BC009449.1;BC000755.2;AB208892.1;AY358600.1,,Silencer® Select,Inventoried,,s39377
s37805,4392420,NETO2,neuropilin and tolloid like 2,BTCL2;NEOT2,NM_018092.4;NM_001201477.1;XM_017023740.1;XM_006721289.1;XM_006721291.1;XM_006721292.1,BC065504.1;BC108727.1;AK074937.1;AL834404.1;AY358718.1;BX538063.1;AK297408.1,,Silencer® Select,Inventoried,,s37805
